ID	TCGA-AH-6643-11A-01R-1830-07	TCGA-AG-3731-11A-01R-1736-07	TCGA-AG-3725-11A-01R-1736-07	TCGA-AG-3742-11A-01R-1660-07	TCGA-AF-2691-11A-01R-A32Z-07	TCGA-AF-5654-11A-11R-1660-07	TCGA-AF-2689-11A-01R-A32Z-07	TCGA-AF-2692-11A-01R-A32Z-07	TCGA-AG-3732-11A-01R-1660-07	TCGA-AF-3400-11A-01R-A32Z-07	TCGA-DC-4745-01A-01R-A32Z-07	TCGA-DY-A1DC-01A-31R-A155-07	TCGA-AG-3732-01A-11R-1660-07	TCGA-AF-3911-01A-01R-1736-07	TCGA-AH-6549-01A-11R-1830-07	TCGA-AG-3887-01A-01R-1119-07	TCGA-DY-A1DD-01A-21R-A155-07	TCGA-EI-6881-01A-11R-A32Z-07	TCGA-AF-5654-01A-01R-1660-07	TCGA-AH-6544-01A-11R-1830-07	TCGA-DY-A1H8-01A-21R-A155-07	TCGA-EI-6514-01A-11R-1736-07	TCGA-AG-4001-01A-02R-1119-07	TCGA-EI-6917-01A-11R-1928-07	TCGA-CI-6624-01C-11R-1830-07	TCGA-AG-3608-01A-01R-0826-07	TCGA-DC-6160-01A-11R-1660-07	TCGA-EI-7002-01A-11R-1928-07	TCGA-AG-3999-01A-01R-1119-07	TCGA-AG-A002-01A-01R-A002-07	TCGA-BM-6198-01A-11R-1736-07	TCGA-F5-6864-01A-11R-1928-07	TCGA-AG-3583-01A-01R-0821-07	TCGA-EI-6512-01A-11R-1736-07	TCGA-AH-6897-01A-11R-1928-07	TCGA-F5-6813-01A-11R-1830-07	TCGA-AG-3591-01A-01R-1736-07	TCGA-AG-3605-01A-01R-0826-07	TCGA-AG-A023-01A-01R-A00A-07	TCGA-DY-A1DF-01A-11R-A155-07	TCGA-AG-A02X-01A-01R-A00A-07	TCGA-AF-2692-01A-01R-0821-07	TCGA-AG-3599-01A-02R-0826-07	TCGA-AG-A016-01A-01R-A002-07	TCGA-AF-A56L-01A-31R-A39D-07	TCGA-AG-3578-01A-01R-0821-07	TCGA-AG-3574-01A-01R-0821-07	TCGA-F5-6465-01A-11R-1736-07	TCGA-AG-3892-01A-01R-1119-07	TCGA-G5-6572-02A-12R-1830-07	TCGA-AG-3587-01A-01R-0821-07	TCGA-AG-A00Y-01A-02R-A002-07	TCGA-AG-3896-01A-01R-1119-07	TCGA-AG-3594-01A-02R-0821-07	TCGA-EI-7004-01A-11R-1928-07	TCGA-F5-6863-01A-11R-1928-07	TCGA-F5-6814-01A-31R-1928-07	TCGA-CI-6622-01A-11R-1830-07	TCGA-F5-6861-01A-11R-1928-07	TCGA-AG-A036-01A-12R-A083-07	TCGA-AG-3898-01A-01R-1119-07	TCGA-AG-A011-01A-01R-A002-07	TCGA-AG-3575-01A-01R-0821-07	TCGA-DC-6683-01A-11R-1830-07	TCGA-EI-6882-01A-11R-1928-07	TCGA-DT-5265-01A-21R-1830-07	TCGA-DY-A0XA-01A-11R-A155-07	TCGA-AG-3600-01A-01R-0826-07	TCGA-DC-5869-01A-01R-1660-07	TCGA-CL-5918-01A-11R-1660-07	TCGA-DY-A1DG-01A-11R-A32Y-07	TCGA-CL-4957-01A-01R-1736-07	TCGA-AG-3586-01A-02R-0821-07	TCGA-DC-4749-01A-01R-1736-07	TCGA-G5-6235-01A-11R-1736-07	TCGA-AG-3612-01A-01R-0826-07	TCGA-AG-3725-01A-11R-1736-07	TCGA-EI-6509-01A-11R-1736-07	TCGA-AH-6547-01A-11R-1830-07	TCGA-AF-6672-01A-11R-1830-07	TCGA-AG-A01N-01A-01R-A00A-07	TCGA-AF-2691-01A-01R-0821-07	TCGA-AG-3883-01A-02R-0905-07	TCGA-DC-5337-01A-01R-1660-07	TCGA-AG-3592-01A-02R-1736-07	TCGA-AF-2690-01A-02R-1736-07	TCGA-F5-6811-01A-11R-1830-07	TCGA-AF-3400-01A-01R-0821-07	TCGA-AG-A008-01A-01R-A002-07	TCGA-AG-3894-01A-01R-1119-07	TCGA-AG-3885-01A-01R-0905-07	TCGA-AG-3882-01A-01R-0905-07	TCGA-AG-3726-01A-02R-0905-07	TCGA-AF-4110-01A-02R-1736-07	TCGA-AH-6644-01A-21R-1830-07	TCGA-AG-A02N-01A-11R-A083-07	TCGA-AG-3609-01A-02R-0826-07	TCGA-AG-A01J-01A-01R-A00A-07	TCGA-AG-4022-01A-01R-1736-07	TCGA-AG-4021-01A-01R-1736-07	TCGA-G5-6233-01A-11R-1736-07	TCGA-AF-6655-01A-11R-1830-07	TCGA-AG-4015-01A-01R-1119-07	TCGA-AG-3731-01A-11R-1736-07	TCGA-AG-3611-01A-01R-0826-07	TCGA-EI-6885-01A-11R-1928-07	TCGA-AG-4007-01A-01R-1119-07	TCGA-AG-3581-01A-01R-0821-07	TCGA-AG-3901-01A-01R-1119-07	TCGA-DC-6158-01A-11R-1660-07	TCGA-F5-6571-01A-12R-1830-07	TCGA-AG-3582-01A-01R-0821-07	TCGA-EI-6508-01A-11R-1736-07	TCGA-CL-5917-01A-11R-1660-07	TCGA-AF-2687-01A-02R-1736-07	TCGA-EF-5831-01A-01R-1660-07	TCGA-DC-6157-01A-11R-1660-07	TCGA-AG-A00C-01A-01R-A002-07	TCGA-AF-A56N-01A-12R-A39D-07	TCGA-DY-A1DE-01A-11R-A155-07	TCGA-AG-A01L-01A-01R-A002-07	TCGA-AF-2693-01A-02R-1736-07	TCGA-DC-6681-01A-11R-A32Z-07	TCGA-AH-6903-01A-11R-1928-07	TCGA-AG-A025-01A-01R-A00A-07	TCGA-AG-3902-01A-01R-A32Z-07	TCGA-AG-3893-01A-01R-1119-07	TCGA-F5-6812-01A-11R-1830-07	TCGA-AG-3881-01A-01R-0905-07	TCGA-AG-A014-01A-02R-A002-07	TCGA-AG-3580-01A-01R-0821-07	TCGA-CI-6623-01B-11R-1830-07	TCGA-EI-6884-01A-11R-1928-07	TCGA-AF-6136-01A-11R-1830-07	TCGA-AF-3913-01A-02R-1119-07	TCGA-AG-A02G-01A-01R-A00A-07	TCGA-DC-6154-01A-31R-1928-07	TCGA-AG-3584-01A-01R-0821-07	TCGA-AG-A032-01A-01R-A00A-07	TCGA-G5-6641-01A-11R-A32Z-07	TCGA-AG-3890-01A-01R-1119-07	TCGA-AG-3742-01A-11R-1660-07	TCGA-AG-A026-01A-01R-A00A-07	TCGA-F5-6702-01A-11R-1830-07	TCGA-G5-6572-01A-11R-1830-07	TCGA-F5-6464-01A-11R-1736-07	TCGA-EF-5830-01A-01R-1660-07	TCGA-DC-6682-01A-11R-1830-07	TCGA-CI-6619-01B-11R-1830-07	TCGA-AG-3727-01A-01R-0905-07	TCGA-AG-A01Y-01A-41R-A083-07	TCGA-AG-3598-01A-01R-0826-07	TCGA-F5-6810-01A-11R-1830-07	TCGA-AG-A01W-01A-21R-A083-07	TCGA-AG-3878-01A-02R-0905-07	TCGA-EI-6507-01A-11R-1736-07	TCGA-CI-6621-01A-11R-1830-07	TCGA-AG-A020-01A-21R-A083-07	TCGA-AG-4008-01A-01R-1119-07	TCGA-AG-3602-01A-02R-0826-07	TCGA-AG-3909-01A-01R-1119-07	TCGA-DC-6156-01A-11R-1660-07	TCGA-EI-6510-01A-11R-1736-07	TCGA-AG-3728-01A-01R-0905-07	TCGA-AG-A015-01A-01R-A002-07	TCGA-CI-6620-01A-11R-1830-07	TCGA-AH-6643-01A-11R-1830-07	TCGA-EI-6513-01A-21R-1736-07	TCGA-EI-6506-01A-11R-1736-07	TCGA-AG-4005-01A-01R-1119-07	TCGA-AF-A56K-01A-32R-A39D-07	TCGA-AG-A00H-01A-01R-A00A-07	TCGA-EI-6511-01A-11R-1736-07	TCGA-EI-6883-01A-31R-1928-07	TCGA-DC-6155-01A-11R-1660-07	TCGA-AG-3593-01A-01R-0821-07	TCGA-AG-3601-01A-01R-0826-07
AC083799.1	6.929332	8.223142	7.209449	12.99555	7.020557634	9.389823623	6.493323	5.929482	7.356818	7.108779	11.0793	15.64195	11.63645	8.089925	2.134843	3.577149	9.813537	7.530957	6.586406	8.015069	8.729389	5.258984	5.130953777	4.143918	5.39540582	4.807732984	6.446582	6.525864	5.850034	3.893904	7.871441	5.30092	2.31328	4.377269	4.04950027	11.73462	8.166244	6.619775	5.389663424	10.6325	6.9511	5.967519	5.984832	2.130862287	3.245188	10.11189	5.175654	7.726087	5.999113	5.695684	3.723598	5.667919913	4.715182	6.643277	4.986236	9.517069	9.593359	5.129311	7.014937	11.2959	5.164157	7.277617	5.066819	8.151133	13.47092	5.422183	11.5986	4.351663	14.62118	9.681453	11.38388	4.734052	6.480698201	3.335785	9.223424	6.146561	9.440083	3.353304	7.611841	11.16656	3.487138	7.771095	0.9099544	8.347851	5.845639	7.335256	8.902846	8.710621	6.969029	3.628401	0.799637457	1.634676	0.886211755	6.175971	6.955191	9.53194	2.397292	4.652584	9.171896	5.145395	9.495621	10.02299	5.042828	3.885428	11.44284	4.399415	2.53721	4.773594906	6.667396995	6.308167	7.159887	6.251936	8.356739	11.7467	7.974843	13.82437	7.280837	3.962431	7.035821	5.670274292	4.141044	9.029087	8.529114883	11.14737	4.652640706	5.428271	5.394036	12.46338	1.329784	2.555915	7.885234	7.192463	5.307416	10.87876	13.58553	3.728571	4.911629	4.962249	4.153863795	8.449137	5.047999	8.920388	4.253434	7.185546	6.779692	5.220391	12.49885	9.066385	4.56863	0.608267492	6.496658	4.79779	10.96987	7.172247	1.37835286	6.470125	6.712143	8.912853	7.423247	5.900525	3.767202	13.16378	6.87802	1.997435	3.4069	3.706905	8.928154	6.351756	4.338709	5.035818	6.510707	3.772289302	11.26678	6.390253	2.58002	10.19109	4.568742
AC010761.1	1.24444	0.5727357	0.7667834	0.8107187	0.443000097	1.803605707	0.476288	0.7010923	0.6438992	0.9442401	1.156172	1.798108	4.47028	1.744594	2.949637	1.939778	2.10025	1.307344	3.004101	1.137818	5.386632	0.5387988	1.680326091	2.270484	0.604337793	4.200609276	1.299318	1.876405	1.194712	2.415788	2.966972	2.158648	3.044061	1.027769	4.132106065	0.7025922	2.188787	3.350387	3.476141116	1.850582	2.858437	3.073256	2.034424	2.53757074	3.496205	4.755943	1.803584	1.678669	3.895577	0.4561215	3.078147	3.378615466	1.590959	2.797418	0.6729663	0.5452935	1.695526	1.168216	1.490975	3.250876	4.147784	1.872881	2.564408	0.997654	1.555535	1.578892	2.451617	2.282061	1.144611	1.45569	2.757683	2.415157	4.015169257	1.521849	2.213044	1.192506	1.639975	0.5657224	1.171955	2.162601	3.577506	2.980354	1.76542	1.248898	1.549734	1.789742	0.8326101	1.625518	1.612412	1.335563	0.996211293	1.72989	0.697709662	1.148242	1.435849	6.69869	1.407442	1.883805	1.810977	1.443514	2.283745	2.606217	2.526485	0.7694939	2.835385	1.797792	3.182403	1.69634174	1.984993544	1.313117	1.792179	2.625627	2.457818	1.378209	2.829735	0.4093168	0.8933242	1.242819	2.258167	2.740555864	1.289758	1.232049	0.983814659	1.959812	2.759141768	3.806667	1.838032	0.8530312	1.284871	3.128693	4.421526	1.380452	1.160227	2.216675	1.102241	2.044354	2.01129	1.889829	1.940626022	2.098165	2.554883	1.847542	2.41296	0.7352959	0.6654688	0.5474691	0.7580617	1.656262	4.478712	1.47770434	6.941492	3.349307	1.44836	3.201617	0.697609067	1.504254	3.545761	4.096905	1.847724	2.049464	1.03999	1.057928	1.507733	0.5946691	1.19133	2.792877	2.309806	2.626419	1.378591	2.05858	4.759712	1.125952128	0.5452418	1.611944	1.504983	5.802629	2.089983
AC005229.4	0.7519115	0.8511214	0.7786445	1.208701	0.85310606	0.737689505	0.958444	0.8462696	1.019089	0.9255529	1.418651	1.726243	1.499466	1.339733	1.496742	1.322308	3.98554	1.07696	1.314927	1.031923	2.224883	1.286979	1.291229157	0.613851	1.00702599	1.40380001	0.8739096	0.9867409	0.9135572	1.508118	1.360312	1.353787	0.4022455	1.33583	1.149244349	1.347028	1.142849	2.616095	0.868859557	0.93617	0.4496631	0.5418046	0.6656767	0.622732328	1.13141	1.226334	0.8606274	0.589659	0.8903864	1.238741	1.027745	0.67790408	0.7436745	0.7481091	0.8773553	1.065585	0.6934842	0.5397484	0.7470309	1.077463	1.371126	0.7149554	0.6454546	1.687336	1.015255	2.121847	1.314692	0.6077835	1.546001	1.796799	1.701943	1.089737	0.578252503	2.470343	1.734877	1.208758	0.751255	0.5454078	0.826095	0.9081087	3.180085	0.9592047	0.7220711	0.8477267	1.433374	1.365117	2.153442	1.228965	0.6594895	0.3641707	1.757165113	1.507366	0.224218473	1.730712	1.013521	0.7289427	1.369663	1.053005	1.237633	1.188796	1.231741	1.192865	2.446305	0.9791579	1.209044	0.6206299	0.844917	1.303536216	0.904664742	1.642819	0.4994175	1.128975	1.968649	1.956367	2.386545	0.7324359	1.963901	0.508323	0.9502512	1.533319998	0.4615814	0.8062692	0.837624525	0.8598756	0.680998366	0.7397311	1.127655	0.9640568	1.051045	0.8367015	0.681101	1.454081	0.58802	0.8920149	1.266605	2.036794	1.238572	1.484888	0.926020591	1.27499	1.103022	1.47939	1.354597	1.544351	1.003672	1.48955	1.197448	0.9106364	1.550665	0.528844029	1.699741	0.7991048	2.073369	1.327931	0.722830481	1.126385	1.042092	0.5169614	0.8816898	0.5508483	0.8034662	1.545361	1.986056	1.09451	0.4616182	1.08999	0.8163198	2.165642	0.7491215	0.6815996	1.675338	0.941070049	2.769021	1.327049	1.10437	0.5054298	1.345887
AC092747.4	3.224384	2.001272	1.226194	2.172953	2.041932497	3.858500611	2.328431	2.502922	3.800228	1.903194	0.9829885	2.96778	5.027348	2.700296	2.887882	1.842876	2.568429	2.819708	3.640734	3.118667	3.896801	1.94689	1.894016137	3.132417	1.92463913	1.113587294	2.273546	2.432594	0.652412	3.900248	2.970559	2.780762	0.42984	2.316945	2.139831442	2.513709	1.203574	1.177079	1.189456042	2.917157	1.451648	2.303703	1.397726	0.827437595	3.062335	2.447306	1.244663	1.98437	1.632782	2.573574	0.8496981	1.478146407	1.262618	1.299384	2.062304	2.390264	2.764341	1.807961	2.250784	2.111934	1.619417	2.653902	1.238798	2.487854	3.693237	3.874138	3.566093	2.17917	1.645935	3.465798	1.724676	3.018601	1.256656723	1.895347	2.171535	1.001858	1.647836	2.039882	2.059787	4.332004	1.059962	1.014892	0.7415892	1.424838	2.577688	2.511947	4.128587	1.61808	2.215035	0.5645282	0.511321104	0.3996654	0.096298608	1.099099	1.901864	3.176585	0.9143458	0.9403503	1.80504	2.308706	3.843075	2.158276	0.6974161	1.497214	1.60284	1.84051	0.4854742	0.59596941	1.808207675	2.039813	2.435529	1.008192	0.9795283	5.822281	3.454514	3.435561	3.007304	1.391773	2.915955	4.134034592	0.5192067	0.9414515	1.930116859	2.386915	1.838439437	1.173235	1.357972	3.242394	0.4729045	1.598585	1.220527	2.037121	3.399404	1.312614	0.380331	1.696601	2.390793	1.033048	2.551988683	6.728161	1.371329	3.972248	1.851307	1.948811	1.918777	2.288222	1.641584	5.01044	2.636509	0.148716662	1.632504	0.9977431	2.273909	1.546617	0.179731485	3.040816	3.518037	1.515912	2.052949	0.3394429	0.4465705	2.45794	2.549211	0.2010883	1.938526	2.894011	2.513273	4.658864	2.112047	1.089155	2.210857	2.719588831	1.635225	2.455861	0.7484006	1.713004	1.697014
LINC01843	5.030111	8.186137	19.96962	6.371502	4.392100522	6.161110476	6.188732	2.499631	2.75098	8.646578	5.746269	3.954849	3.034884	7.199623	3.253665	10.60704	1.598061	2.287889	3.680867	5.584342	3.490988	4.288098	6.161379657	1.328212	4.180766353	14.810185683	4.713146	6.60848	1.687358	2.065129	1.360197	4.274098	9.888385	5.063583	2.953018744	6.704297	6.580623	7.997695	4.312902677	1.997231	5.297441	3.313397	14.83277	5.409530037	3.978119	1.973144	12.86843	4.426569	20.61003	2.207694	5.81581	6.315893493	6.183264	4.019333	2.100683	3.00144	0.5163544	6.588292	7.552541	4.824922	4.06058	5.069919	6.928543	5.956062	8.359	1.97422	5.021668	3.706546	4.950363	3.65207	1.779624	5.448223	10.195547539	5.291199	4.343291	5.768532	3.764645	3.429286	6.642	2.482179	8.057393	8.054641	10.28528	12.45137	3.832845	1.394534	8.233323	3.720256	5.892512	12.87983	8.494793583	4.214555	11.008488083	9.704832	2.896343	16.76929	3.783693	5.762423	3.686066	3.611903	6.501432	5.24091	8.03959	4.009837	6.417967	4.888974	11.69801	7.305492983	4.697894902	1.840043	3.582615	4.592612	2.977375	2.084878	1.567656	4.508285	5.667757	5.45939	7.000438	9.36439498	3.404111	3.565607	5.397060343	5.035156	6.722136719	5.217632	7.243862	2.807464	3.527854	2.14993	13.85001	2.180716	5.571424	3.339029	7.075829	4.64013	3.505339	10.86434	4.727975051	2.417957	8.587501	2.197766	2.459077	3.35688	6.265615	1.005188	6.177484	3.042919	3.231172	4.950209423	2.521914	16.36526	6.87762	6.225469	7.591524291	0.9772898	5.155564	7.609894	3.701345	14.171	14.31095	3.334312	3.295176	5.408856	5.092024	3.480075	3.241682	5.101963	3.870479	7.523021	2.415866	6.758543014	5.553368	4.816698	7.477014	5.977694	7.511391
AL451165.2	1.714865	3.873358	8.04675	4.818046	2.001616361	2.069655465	2.4658	1.894176	2.121821	2.60064	1.914327	2.795502	1.930529	7.970855	2.133488	2.261816	5.647981	2.361726	1.321245	2.653434	3.001224	2.236567	3.681091682	1.346148	2.401093828	3.404698066	0.8753494	1.696756	0.8479468	1.334299	1.534475	1.678015	0.7644926	2.023961	2.119968709	1.945684	2.986577	4.320949	2.364392136	7.296814	4.273063	0.864976	2.583035	2.662968205	2.060718	4.038582	2.453514	1.934331	3.540333	1.27643	2.636945	1.33795256	2.915136	1.568192	1.127993	2.613935	1.752354	1.513513	1.738504	3.267742	2.848834	4.003657	3.565174	2.892487	1.234915	2.191686	1.842228	2.599043	3.879759	4.091852	7.177473	1.877411	2.373850274	2.245855	2.956765	0.7859254	1.784758	1.672665	2.238767	2.958715	2.947816	5.127266	2.595514	4.275763	2.587321	2.115072	2.284326	2.527178	1.821348	2.141274	2.250600885	3.420271	0.639211678	2.256245	1.161157	1.003221	1.414744	2.342987	2.672952	2.001599	3.101826	1.772689	2.765564	1.146478	4.07988	1.596233	3.385236	2.517410345	1.520982453	1.591162	2.181569	2.904527	2.818096	1.859098	3.120478	1.431812	2.343672	4.018095	2.734335	3.527150324	1.378558	2.638105	1.615368514	2.188229	2.052357722	1.988351	3.529941	3.533625	2.425629	2.876397	1.339112	2.182926	1.411665	2.584683	3.488489	1.894779	3.715429	1.739664	2.702795076	2.213498	3.641048	2.275635	1.986039	2.317212	1.333662	1.221208	3.017498	2.881017	2.137483	0.933307967	1.331234	4.94678	3.471451	0.7886924	2.060676261	2.455583	1.312122	1.727875	4.021695	10.9244	2.155817	1.762232	2.223408	5.893857	2.48578	1.814716	0.9151909	3.478946	1.837099	3.029002	1.974488	3.767396579	1.854305	1.518103	5.109675	2.004732	4.873917
AL354696.1	1.074346	0.7942627	1.291343	1.040721	0.267107369	0.466065401	0.5513824	0.1546552	0.5570396	0.5300664	1.422115	1.897299	2.267525	1.803266	0.3994462	0.9356728	6.092159	2.364793	0.8579964	1.476496	2.255914	1.169529	0.460524711	0.5220726	1.052670958	0.370648058	1.044567	2.562923	1.033549	0.3449847	0.8223347	2.119682	0.6776934	1.11545	1.076309704	0.9928797	1.811121	0.8264124	0.960640496	6.078231	1.060614	1.150152	1.226658	0.688513912	1.00769	1.215613	1.165149	0.7501856	0.9326286	0.3960273	0.6817856	1.499027332	1.130568	1.16772	0.3423648	1.643926	0.5576287	1.291358	1.112494	1.318011	0.9249944	0.6775533	1.248864	1.950929	1.2572	0.5893298	1.182564	0.9599799	2.070433	1.880807	4.275637	0.9708141	1.125230504	1.118325	2.210029	0.6564989	1.621673	1.279136	0.9020825	3.494566	0.3451298	0.7070194	0.1388428	0.9132426	0.8919402	0.7874708	2.214808	0.9801076	0.9114424	0.6039592	0.675749964	0.4081456	0	1.307741	0.6283646	3.334939	0.7900933	0.567921	3.068463	0.4234223	2.678315	0.7857106	0.4663306	0.3866393	1.527726	0.4176805	1.312886	0.743862557	0.307762437	0.558879	1.994947	1.339567	0.740972	1.661986	0.8332563	1.156866	1.211919	0.6131117	1.060449	0.467666323	1.652529	0.4862392	1.125854339	0.9883062	0.602347851	0.8723965	1.173434	1.908457	0.4426938	0.7618351	1.454162	1.060385	1.870563	1.22876	0.3797698	1.611921	1.962136	0.4497925	2.535222034	1.445818	1.155352	1.176737	1.112568	0.5751534	0.9404183	0.6027859	1.891341	0.9331599	1.431863	0	1.156487	0.7068138	2.474322	0.8972368	0	0.9209455	0.6528977	1.103721	0.6684522	2.224307	0.5225526	2.050324	1.483954	0.8605352	0.9073434	0.5784623	1.298051	0.6841162	0.7124766	1.861834	1.738481	0.619859744	0.9040738	1.831702	0	0.2915584	1.28697
AC006026.3	1.066833	2.280396	3.823193	1.15088	0.812295925	0.89990095	0.9581715	1.505023	2.112005	6.140862	5.087965	0.6280104	9.219094	2.909815	0.1983264	1.219483	0.9516157	1.620627	0	0.466509	0.5004563	3.116292	2.560903846	1.088686	0.281429514	0.322049099	0.7260833	0.4814866	0.3265569	1.59867	2.105927	0.1292457	0.2944175	0.1435843	0.623456786	1.24228	3.659648	2.553081	0	0.9184801	1.382321	0	0.5684372	0.398824492	1.207672	0.6499837	0.5399341	0.3724698	2.521068	0.3441006	0	2.404572084	2.500475	1.352813	1.850951	1.777535	0.9690262	0.6800223	1.288834	1.057103	0.7144091	1.962378	0	5.085377	2.496817	0.4726685	3.596276	3.00279	1.673451	2.124457	0.4643775	1.325535	2.133145176	3.886767	5.217291	0.325954	2.062011	0.2540382	2.194647	2.537855	1.499384	0.9214738	0.4825516	1.002315	1.217841	0	1.385571	2.167702	0.316774	1.749229	1.565723692	0.47284	0	5.881877	3.494235	1.931777	0.3051098	0	0.2882302	0.4905381	0.315544	2.145594	0.9724461	0.940642	7.585213	0.6221394	1.052992	0.64632813	1.069635882	1.780531	2.352433	1.269736	2.446503	5.09671	0.1379049	1.1258	1.404018	0	0.9555301	0.975231451	0.6756949	0.70414	1.640907937	1.941455	0	2.598887	0	2.258005	0	0	0.3609983	3.209859	4.122705	2.472445	2.639799	0.6590908	5.967021	0	1.01667995	7.914336	0.8923231	1.145138	0	0.6246749	4.052874	2.094997	2.958031	1.365566	0.3928797	0	0.5741996	4.562162	0.8852495	0.283488	0	1.745874	0	1.370004	0	0.7362509	2.905831	4.908988	6.551443	0	1.576747	1.072245	0.7049073	5.415787	1.114304	0.9244072	0.7193016	1.231050122	1.856714	4.027549	0	0	0
SPINT1-AS1	8.619043	13.15967	32.84482	12.80857	10.031428525	11.819570713	11.19703	7.754606	4.834543	16.63204	16.94581	7.882443	7.482518	12.8006	4.84123	11.63512	6.123098	7.067659	5.028677	10.3557	7.297076	5.144828	8.128131052	5.30528	5.992813217	17.804194641	6.033699	8.321772	8.78172	11.76261	5.954896	9.054606	11.11159	6.081877	11.824880275	4.827078	7.501481	22.32092	9.178137905	19.02825	13.29512	7.612447	11.44834	11.001311276	6.341986	6.63912	10.3446	4.45651	17.37511	2.753545	8.204539	7.493182257	15.08934	10.6953	3.570652	10.90254	8.765522	9.104286	8.735774	8.296424	8.822577	12.13982	15.42231	5.830192	4.922935	12.40179	10.63361	12.12992	5.871532	8.921346	13.20259	10.40315	10.873760619	10.76625	9.584333	3.9125	6.854065	10.48189	10.72892	8.117742	9.171775	17.12275	9.802146	16.11847	7.155678	4.088867	5.25948	15.04694	9.286414	13.64766	18.884093621	8.895422	8.533890972	10.84634	5.125136	10.16685	10.88127	8.565661	9.081694	13.38963	9.159308	7.631666	13.24379	5.614352	22.32403	2.716609	9.803566	17.679343559	5.802278257	4.296843	5.072906	7.327368	9.496372	6.19613	2.24421	5.791387	7.717426	24.79869	5.92378	19.284762466	12.16578	10.09358	11.261210808	8.118385	11.839368207	10.97326	10.82609	5.505369	5.371727	10.34657	6.791371	5.145389	7.814506	11.41435	17.25217	6.96035	6.804889	7.433519	14.00266703	16.00692	10.86524	6.117435	7.003233	4.268158	11.0302	6.632105	5.993521	5.614776	5.864551	7.77345235	6.030718	26.61077	8.07156	15.37791	7.761346615	7.640253	3.620338	9.329073	10.0998	40.87292	7.504091	6.122655	12.96698	10.57133	11.32834	10.70471	4.946526	8.369795	9.259781	9.459941	7.405265	7.992138352	3.049566	5.023294	33.24157	8.888414	19.26228
AC008115.3	1.111527	0.9066055	0.7360562	1.156271	0.27203353	0.421920773	0.4991567	0.4760226	0.8251823	0.5598363	0.4543819	0.5725305	1.471783	1.166046	1.885546	1.270572	0.8985315	1.326696	1.121942	0.9721062	3.389247	2.011633	3.418620047	1.890493	1.576056539	1.174393984	2.458632	2.320169	1.190832	0.4164114	1.097077	1.009953	1.303696	0.9349977	0.974364158	0.5393019	0.800723	0.6650103	1.264946717	0.6379728	0.3600581	3.731011	1.184503	0.93494922	2.264881	1.777688	0.7735121	2.166747	1.407154	0.6871566	3.600383	2.714085916	1.488704	1.145209	0.2754994	1.951218	2.492507	0.8502137	1.678535	3.579516	1.302593	0.613377	0.7267978	1.280453	1.571691	0.9028629	3.836152	0.6952423	1.656382	1.362129	0.2822355	1.63217	1.481674609	0.9345231	0.8682285	0.6792193	0.859359	3.374682	1.306623	4.627309	1.640309	0.5600457	0.5027678	0.6091786	1.326538	1.267348	0.8020105	0.3226451	0.8251127	1.822512	0.101957417	0.369487	0.244824741	1.149055	1.782388	4.629228	0.7152575	0.6169547	1.989523	0.7346903	2.013677	1.42258	0.6754574	0.9100461	2.766047	2.592814	1.097107	0.757581333	1.578800746	1.602154	2.483237	1.763907	2.012367	1.725826	2.658123	1.29864	1.919976	0.5550392	2.560015	1.270110177	1.320005	0.4768657	0.72331461	1.653243	2.259078733	2.341089	0.2655723	0.955745	0.7013351	2.660178	1.504488	1.331541	1.775992	1.405105	0.945447	2.489298	1.443233	1.058692	1.147545857	0.6871585	2.091839	2.556669	1.549521	0.748472	0.5448602	0.5067135	0.4708543	1.645085	2.3537	0.201647875	5.683426	1.188323	1.877613	1.993711	0.228470146	1.402158	1.842706	1.356029	0.6051379	0.8629826	1.040727	0.7836959	1.924326	0.5842705	0.7187267	0.5236717	1.762653	1.823548	2.257474	0.8828734	3.072689	1.683444224	1.413673	1.353639	0	5.278854	0.94662
